sample_id,field_id,red,green,blue,reaction_time_sec,sample_temperature_c,lab_olsen_p_mg_kg,region,soil_type,measurement_date,data_source
S0199,F036,147.5,184.9,217.5,827.0,24.0,7.88,Sirdaryo,Allyuvial,2025-04-11,SYNTHETIC_DEMO
S0200,F037,116.0,176.0,220.6,531.0,22.7,12.66,Jizzax,Bo'z tuproq,2025-03-27,SYNTHETIC_DEMO
S0201,F037,100.9,161.8,211.2,889.0,19.6,13.89,Jizzax,Bo'z tuproq,2025-04-06,SYNTHETIC_DEMO
S0202,F037,111.9,165.3,215.2,514.0,25.1,12.79,Jizzax,Bo'z tuproq,2025-04-21,SYNTHETIC_DEMO
S0203,F037,160.0,201.5,231.4,468.0,13.8,8.34,Jizzax,Bo'z tuproq,2025-03-23,SYNTHETIC_DEMO
S0204,F037,116.0,174.7,222.9,335.0,27.4,12.38,Jizzax,Bo'z tuproq,2025-05-02,SYNTHETIC_DEMO
S0205,F038,64.5,130.6,201.3,817.0,24.8,19.34,Buxoro,O'tloqi-bo'z,2025-06-05,SYNTHETIC_DEMO
S0206,F038,114.4,175.9,220.7,588.0,18.7,11.71,Buxoro,O'tloqi-bo'z,2025-05-19,SYNTHETIC_DEMO
S0207,F038,83.8,155.3,207.0,395.0,21.7,17.41,Buxoro,O'tloqi-bo'z,2025-05-02,SYNTHETIC_DEMO
S0208,F038,131.9,186.4,220.7,200.0,20.1,14.52,Buxoro,O'tloqi-bo'z,2025-06-06,SYNTHETIC_DEMO
S0209,F038,131.7,182.9,219.9,258.0,18.6,17.12,Buxoro,O'tloqi-bo'z,2025-05-02,SYNTHETIC_DEMO
S0210,F038,78.2,148.8,208.9,715.0,21.7,11.6,Buxoro,O'tloqi-bo'z,2025-06-23,SYNTHETIC_DEMO
S0211,F039,60.2,137.2,196.9,697.0,18.5,17.24,Farg'ona,Sur-qo'ng'ir,2025-05-08,SYNTHETIC_DEMO
S0212,F039,54.7,127.4,192.2,692.0,28.3,20.05,Farg'ona,Sur-qo'ng'ir,2025-03-12,SYNTHETIC_DEMO
S0213,F039,61.4,128.2,196.6,415.0,18.2,24.29,Farg'ona,Sur-qo'ng'ir,2025-03-26,SYNTHETIC_DEMO
S0214,F039,156.0,192.9,226.1,237.0,15.0,13.69,Farg'ona,Sur-qo'ng'ir,2025-03-17,SYNTHETIC_DEMO
S0215,F039,90.6,147.4,203.2,780.0,25.1,13.97,Farg'ona,Sur-qo'ng'ir,2025-04-04,SYNTHETIC_DEMO
S0216,F039,63.5,135.1,197.7,502.0,22.6,20.64,Farg'ona,Sur-qo'ng'ir,2025-03-26,SYNTHETIC_DEMO
S0217,F040,91.2,161.3,219.4,599.0,17.3,17.21,Qashqadaryo,Allyuvial,2025-04-08,SYNTHETIC_DEMO
S0218,F040,114.1,174.0,217.3,415.0,22.7,13.74,Qashqadaryo,Allyuvial,2025-04-17,SYNTHETIC_DEMO
S0219,F040,106.7,165.9,217.9,731.0,26.7,13.03,Qashqadaryo,Allyuvial,2025-04-30,SYNTHETIC_DEMO
S0220,F040,97.5,160.8,210.3,885.0,21.7,16.1,Qashqadaryo,Allyuvial,2025-05-15,SYNTHETIC_DEMO
S0221,F040,81.1,156.7,212.9,473.0,29.9,15.96,Qashqadaryo,Allyuvial,2025-05-27,SYNTHETIC_DEMO
S0222,F041,111.8,171.1,215.3,845.0,24.1,11.21,Sirdaryo,Bo'z tuproq,2025-03-16,SYNTHETIC_DEMO
S0223,F041,164.2,206.7,230.1,424.0,21.6,7.23,Sirdaryo,Bo'z tuproq,2025-04-03,SYNTHETIC_DEMO
S0224,F041,110.3,172.6,220.8,650.0,29.0,15.07,Sirdaryo,Bo'z tuproq,2025-04-25,SYNTHETIC_DEMO
S0225,F041,134.7,183.0,227.2,785.0,27.3,8.05,Sirdaryo,Bo'z tuproq,2025-04-25,SYNTHETIC_DEMO
S0226,F041,117.9,171.2,219.6,306.0,25.8,12.87,Sirdaryo,Bo'z tuproq,2025-05-22,SYNTHETIC_DEMO
S0227,F041,123.1,182.4,222.3,247.0,25.9,16.27,Sirdaryo,Bo'z tuproq,2025-06-28,SYNTHETIC_DEMO
S0228,F041,197.2,222.0,232.9,151.0,17.0,11.02,Sirdaryo,Bo'z tuproq,2025-04-20,SYNTHETIC_DEMO
S0229,F042,203.3,221.2,232.9,278.0,24.8,3.26,Jizzax,O'tloqi-bo'z,2025-03-04,SYNTHETIC_DEMO
S0230,F042,189.3,217.9,235.0,779.0,24.7,3.1,Jizzax,O'tloqi-bo'z,2025-06-01,SYNTHETIC_DEMO
S0231,F042,204.6,226.7,234.3,896.0,25.3,2.22,Jizzax,O'tloqi-bo'z,2025-06-05,SYNTHETIC_DEMO
S0232,F042,216.6,231.1,237.0,196.0,25.1,2.76,Jizzax,O'tloqi-bo'z,2025-05-12,SYNTHETIC_DEMO
S0233,F042,196.0,219.5,233.3,806.0,24.5,2.86,Jizzax,O'tloqi-bo'z,2025-04-26,SYNTHETIC_DEMO
S0234,F043,131.9,179.5,224.3,442.0,29.3,8.8,Buxoro,Sur-qo'ng'ir,2025-03-20,SYNTHETIC_DEMO
S0235,F043,134.5,185.9,233.8,253.0,25.6,11.14,Buxoro,Sur-qo'ng'ir,2025-03-18,SYNTHETIC_DEMO
S0236,F043,183.2,215.6,235.1,166.0,19.3,9.6,Buxoro,Sur-qo'ng'ir,2025-04-15,SYNTHETIC_DEMO
S0237,F043,123.9,183.5,221.5,818.0,27.0,8.15,Buxoro,Sur-qo'ng'ir,2025-03-15,SYNTHETIC_DEMO
S0238,F043,121.8,179.1,225.9,900.0,26.9,10.67,Buxoro,Sur-qo'ng'ir,2025-05-10,SYNTHETIC_DEMO
S0239,F044,184.5,215.1,234.1,445.0,17.9,6.03,Farg'ona,Allyuvial,2025-03-14,SYNTHETIC_DEMO
S0240,F044,144.0,194.4,225.8,631.0,14.7,9.85,Farg'ona,Allyuvial,2025-05-18,SYNTHETIC_DEMO
S0241,F044,130.5,185.0,223.4,539.0,27.6,8.54,Farg'ona,Allyuvial,2025-05-23,SYNTHETIC_DEMO
S0242,F044,173.6,208.5,232.7,423.0,19.9,7.61,Farg'ona,Allyuvial,2025-04-01,SYNTHETIC_DEMO
S0243,F044,153.6,200.0,230.2,830.0,26.2,7.31,Farg'ona,Allyuvial,2025-03-03,SYNTHETIC_DEMO
S0244,F044,190.1,213.2,234.2,219.0,24.1,5.61,Farg'ona,Allyuvial,2025-03-12,SYNTHETIC_DEMO
S0245,F044,158.8,201.3,234.5,777.0,18.5,7.25,Farg'ona,Allyuvial,2025-04-28,SYNTHETIC_DEMO
S0246,F045,192.7,217.1,235.8,193.0,23.8,4.59,Qashqadaryo,Bo'z tuproq,2025-05-10,SYNTHETIC_DEMO
S0247,F045,168.7,205.2,231.6,353.0,20.9,6.3,Qashqadaryo,Bo'z tuproq,2025-05-13,SYNTHETIC_DEMO
S0248,F045,177.7,211.8,230.6,488.0,12.1,6.2,Qashqadaryo,Bo'z tuproq,2025-05-15,SYNTHETIC_DEMO
S0249,F045,206.3,225.0,235.4,181.0,24.7,3.71,Qashqadaryo,Bo'z tuproq,2025-06-16,SYNTHETIC_DEMO
S0250,F045,178.9,211.3,229.5,837.0,26.1,3.14,Qashqadaryo,Bo'z tuproq,2025-04-09,SYNTHETIC_DEMO
S0251,F046,30.5,95.6,185.1,414.0,29.5,43.69,Sirdaryo,O'tloqi-bo'z,2025-05-06,SYNTHETIC_DEMO
S0252,F046,78.3,150.4,211.2,253.0,29.7,26.85,Sirdaryo,O'tloqi-bo'z,2025-05-08,SYNTHETIC_DEMO
S0253,F046,110.2,163.3,216.9,189.0,22.5,26.62,Sirdaryo,O'tloqi-bo'z,2025-04-04,SYNTHETIC_DEMO
S0254,F046,21.1,79.2,177.4,511.0,30.5,42.11,Sirdaryo,O'tloqi-bo'z,2025-06-04,SYNTHETIC_DEMO
S0255,F047,68.3,134.5,197.9,527.0,26.1,21.45,Jizzax,Sur-qo'ng'ir,2025-04-20,SYNTHETIC_DEMO
S0256,F047,132.3,182.7,227.0,590.0,24.8,9.21,Jizzax,Sur-qo'ng'ir,2025-03-14,SYNTHETIC_DEMO
S0257,F047,94.6,162.0,214.3,890.0,28.2,11.69,Jizzax,Sur-qo'ng'ir,2025-03-06,SYNTHETIC_DEMO
S0258,F047,117.0,181.5,224.7,584.0,19.2,14.01,Jizzax,Sur-qo'ng'ir,2025-03-27,SYNTHETIC_DEMO
S0259,F047,118.8,177.5,225.9,816.0,18.1,15.4,Jizzax,Sur-qo'ng'ir,2025-06-04,SYNTHETIC_DEMO
S0260,F047,81.6,147.1,212.0,880.0,22.2,17.71,Jizzax,Sur-qo'ng'ir,2025-03-17,SYNTHETIC_DEMO
S0261,F047,142.3,187.8,219.5,217.0,22.8,16.52,Jizzax,Sur-qo'ng'ir,2025-03-09,SYNTHETIC_DEMO
S0262,F048,146.3,189.9,230.0,577.0,21.4,8.97,Buxoro,Allyuvial,2025-06-08,SYNTHETIC_DEMO
S0263,F048,157.8,197.2,226.3,898.0,27.5,6.83,Buxoro,Allyuvial,2025-04-27,SYNTHETIC_DEMO
S0264,F048,165.4,202.1,228.7,576.0,21.8,5.52,Buxoro,Allyuvial,2025-04-18,SYNTHETIC_DEMO
S0265,F048,175.7,216.5,228.7,531.0,12.1,6.65,Buxoro,Allyuvial,2025-06-16,SYNTHETIC_DEMO
